501,Red_Potion,Red_Potion,0,50,25,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,65,0,0,0,0,0,0,0,0
502,Orange_Potion,Orange_Potion,0,200,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,145,0,0,0,0,0,0,0,0
503,Yellow_potion,Yellow_potion,0,550,275,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,235,0,0,0,0,0,0,0,0
504,White_Potion,White_Potion,0,1200,600,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,405,0,0,0,0,0,0,0,0
505,Blue_Potion,Blue_Potion,0,5000,2500,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0
506,Green_Potion,Green_Potion,0,40,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
507,Red_Herb,Red_Herb,0,18,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0,0,0,0,0,0
508,Yellow_Herb,Yellow_Herb,0,40,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,58,0,0,0,0,0,0,0,0
509,White_Herb,White_Herb,0,120,60,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,115,0,0,0,0,0,0,0,0
510,Blue_Herb,Blue_Herb,0,60,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0,0,0,0,0
511,Green_Herb,Green_Herb,0,10,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
512,Apple,Apple,0,15,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,0,0,0,0,0,0,0
513,Banana,Banana,0,15,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,0,0,0,0,0,0
514,Grape,Grape,0,200,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0
515,Carrot,Carrot,0,15,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0
516,Sweet_Potato,Sweet_Potato,0,15,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0
517,Meat,Meat,0,50,25,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,100,0,0,0,0,0,0,0,0
518,Honey,Honey,0,500,250,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,100,20,40,0,0,0,0,0,0
519,Milk,Milk,0,25,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,0,0,0,0,0,0,0,0
520,Hinalle_Leaflet,Hinalle_Leaflet,0,150,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,235,0,0,0,0,0,0,0,0
521,Aloe_Leaflet,Aloe_Leaflet,0,360,180,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,405,0,0,0,0,0,0,0,0
522,Mastela_Fruit,Mastela_Fruit,0,840,420,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,600,0,0,0,0,0,0,0,0
