998,1,94,1002,1,0,0,0,0,0,0,0,0
999,1,95,998,5,1003,1,0,0,0,0,0,0
1000,1,96,1001,10,0,0,0,0,0,0,0,0
994,1,96,990,10,0,0,0,0,0,0,0,0
995,1,96,991,10,0,0,0,0,0,0,0,0
997,1,96,993,10,0,0,0,0,0,0,0,0
996,1,96,992,10,0,0,0,0,0,0,0,0
984,1,97,756,3,1003,1,0,0,0,0,0,0
985,1,97,757,3,1003,1,0,0,0,0,0,0
1101,1,99,998,2,0,0,0,0,0,0,0,0
1104,1,99,998,30,0,0,0,0,0,0,0,0
1107,1,99,998,45,913,25,0,0,0,0,0,0
1110,2,99,999,20,0,0,0,0,0,0,0,0
1113,2,99,999,35,0,0,0,0,0,0,0,0
1122,2,99,999,40,920,50,0,0,0,0,0,0
1119,3,99,984,8,999,15,718,1,0,0,0,0
1123,3,99,984,8,999,10,728,1,0,0,0,0
1129,3,99,984,16,724,1,0,0,0,0,0,0
1201,1,98,998,1,909,10,0,0,0,0,0,0
1204,1,98,998,25,0,0,0,0,0,0,0,0
1207,1,98,998,50,0,0,0,0,0,0,0,0
1210,2,98,999,17,0,0,0,0,0,0,0,0
1213,2,98,999,30,0,0,0,0,0,0,0,0
1216,2,98,999,40,0,0,0,0,0,0,0,0
1219,3,98,984,4,999,40,726,1,0,0,0,0
1222,3,98,984,4,999,60,729,1,0,0,0,0
1116,1,100,998,35,958,15,0,0,0,0,0,0
1151,2,100,999,25,957,20,0,0,0,0,0,0
1154,2,100,999,45,0,0,0,0,0,0,0,0
1157,2,100,984,12,999,10,0,0,0,0,0,0
1160,3,100,984,12,999,20,0,0,0,0,0,0
1163,3,100,984,16,999,20,733,1,0,0,0,0
1301,1,101,998,10,0,0,0,0,0,0,0,0
1351,1,101,998,110,0,0,0,0,0,0,0,0
1354,2,101,999,30,0,0,0,0,0,0,0,0
1357,3,101,984,4,999,20,922,30,0,0,0,0
1360,3,101,984,8,999,10,719,1,0,0,0,0
1501,1,102,998,3,0,0,0,0,0,0,0,0
1504,1,102,998,30,0,0,0,0,0,0,0,0
1507,2,102,999,20,0,0,0,0,0,0,0,0
1510,2,102,999,33,0,0,0,0,0,0,0,0
1519,2,102,999,45,0,0,0,0,0,0,0,0
1513,3,102,999,85,730,1,0,0,0,0,0,0
1516,3,102,999,100,963,20,0,0,0,0,0,0
1522,3,102,999,120,968,1,0,0,0,0,0,0
1401,1,104,998,3,0,0,0,0,0,0,0,0
1404,1,104,998,35,0,0,0,0,0,0,0,0
1451,2,104,999,25,0,0,0,0,0,0,0,0
1454,2,104,999,40,0,0,0,0,0,0,0,0
1457,2,104,999,55,0,0,0,0,0,0,0,0
1460,3,104,984,8,999,10,720,5,0,0,0,0
1463,3,104,984,12,999,10,0,0,0,0,0,0
1410,3,104,984,12,723,3,923,1,0,0,0,0
1801,1,103,998,160,722,1,0,0,0,0,0,0
1803,2,103,999,50,0,0,0,0,0,0,0,0
1805,2,103,999,65,0,0,0,0,0,0,0,0
1807,3,103,984,4,723,10,0,0,0,0,0,0
1809,3,103,984,8,728,10,0,0,0,0,0,0
1811,3,103,984,4,727,10,0,0,0,0,0,0
